Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
12,33,22,1,0,54.54,2,lbw,1,, Sri Lanka,Dambulla,18 Aug 2008
37,82,67,6,0,55.22,2,caught,2,, Sri Lanka,Dambulla,20 Aug 2008
25,40,38,4,0,65.78,1,run out,1,, Sri Lanka,Colombo (RPS),24 Aug 2008
54,87,66,7,0,81.81,1,bowled,1,, Sri Lanka,Colombo (RPS),27 Aug 2008
31,45,46,3,1,67.39,1,lbw,2,, Sri Lanka,Colombo (RPS),29 Aug 2008
2*,6,2,0,0,100.00,7,not out,1,, Sri Lanka,Colombo (RPS),14 Sep 2009
16,28,24,1,0,66.66,4,caught,2,, Pakistan,Centurion,26 Sep 2009
0,dnb,dnb,dnb,dnb,dnb,dnb,dnb,dnb,, Australia,Centurion,28 Sep 2009
79*,121,104,9,2,75.96,4,not out,2,, West Indies,Johannesburg,30 Sep 2009
30,53,41,3,0,73.17,4,caught,2,, Australia,Vadodara,25 Oct 2009
10,32,16,1,0,62.50,3,caught,2,, Australia,Mohali,2 Nov 2009
27,20,19,4,0,142.10,7,bowled,1,, Sri Lanka,Rajkot,15 Dec 2009
54,93,65,7,0,83.07,4,lbw,1,, Sri Lanka,Nagpur,18 Dec 2009
107,dnb,114,11,1,93.85,4,caught,2,, Sri Lanka,Eden Gardens,24 Dec 2009
0,dnb,dnb,dnb,dnb,dnb,dnb,dnb,dnb,, Sri Lanka,Delhi,27 Dec 2009
9,19,12,1,0,75.00,3,caught,1,, Sri Lanka,Mirpur,5 Jan 2010
91,136,102,7,0,89.21,3,caught,2,, Bangladesh,Mirpur,7 Jan 2010
71*,98,68,9,0,104.41,3,not out,2,, Sri Lanka,Mirpur,10 Jan 2010
102*,128,95,11,0,107.36,3,not out,2,, Bangladesh,Mirpur,11 Jan 2010
2,6,8,0,0,25.00,3,caught,1,, Sri Lanka,Mirpur,13 Jan 2010
31,dnb,46,1,0,67.39,5,caught,1,, South Africa,Jaipur,21 Feb 2010
DNB,dnb,dnb,dnb,dnb,dnb,dnb,dnb,1,, South Africa,Gwalior,24 Feb 2010
57,dnb,71,4,1,80.28,3,caught,2,, South Africa,Ahmedabad,27 Feb 2010
0,3,0,0,0,dnb,3,run out,1,, Zimbabwe,Bulawayo,28 May 2010
82,125,92,4,0,89.13,3,caught,2,, Sri Lanka,Bulawayo,30 May 2010
18,28,29,1,0,62.06,3,caught,1,, Zimbabwe,Harare,3 Jun 2010
68,123,95,5,0,71.57,3,caught,1,, Sri Lanka,Harare,5 Jun 2010
